中央央视,#genre#
寰宇新闻台湾台,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv156
半岛国际新闻,http://192.168.1.1:16888/snowai?token=leifeng&id=litv-ftv10
美国之音,http://192.168.1.1:16888/snowai?token=leifeng&id=litv-ftv03
东森财经新闻台,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv153
非凡商业,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv048
台视财经台,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv056
第1商业台,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv104

台湾综合,#genre#
TVBS,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv073
台视,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv066
中视,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv040
华视,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv041
民视,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv002
民视,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv155
民视台湾台,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv001
民视第一台,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv003
中天亚洲,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv109
靖天综合台,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv046
靖天国际台,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv063
靖天资讯台,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv065
客家电视台,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv043
ARIRANG,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv079
国会频道1,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv084
国会频道2,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv085

台湾综艺,#genre#
TVBS欢乐台,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv068
TVBS精采台,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv067
ELTV娱乐,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv070
民视综艺台,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv004
八大综艺,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv039
八大精彩,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv034
靖天欢乐台,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv054
靖天育乐台,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv062
中视菁采台,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv064
猪哥亮歌厅秀,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv006

台湾电影,#genre#
影迷数位电影台,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv011
amc电影台,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv017
靖天电影台,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv061
靖天映画,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv055
采昌影剧台,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv049
民视影剧台,http://192.168.1.1:16888/snowai?token=leifeng&id=litv-ftv09
龙华电影台,http://192.168.1.1:16888/snowai?token=leifeng&id=litv-longturn03
龙华洋片台,http://192.168.1.1:16888/snowai?token=leifeng&id=litv-longturn02
公视戏剧,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv042
靖洋戏剧台,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv045
靖天戏剧台,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv058
中视经典台,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv080
靖天日本台,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv047
龙华戏剧台,http://192.168.1.1:16888/snowai?token=leifeng&id=litv-longturn18
龙华日韩台,http://192.168.1.1:16888/snowai?token=leifeng&id=litv-longturn11
龙华偶像台,http://192.168.1.1:16888/snowai?token=leifeng&id=litv-longturn12
龙华经典台,http://192.168.1.1:16888/snowai?token=leifeng&id=litv-longturn21
台湾戏剧台,http://192.168.1.1:16888/snowai?token=leifeng&id=litv-longturn22
靖天卡通台,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv044
靖洋卡通台,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv057
龙华卡通台,http://192.168.1.1:16888/snowai?token=leifeng&id=litv-longturn01
龙华电影台,https://cdn8.163189.xyz/live/lhdy/stream.m3u8
龙华卡通台,https://cdn8.163189.xyz/live/lhkt/stream.m3u8
龙华偶像台,https://cdn8.163189.xyz/live/lhox/stream.m3u8
龙华戏剧台,https://cdn8.163189.xyz/live/lhxj/stream.m3u8
龙华洋片台,https://cdn8.163189.xyz/live/lhyp/stream.m3u8

台湾体育,#genre#
时尚运动X,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv014
GINXEsportsTV,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv053
智林体育台,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv101
博斯魅力,http://192.168.1.1:16888/snowai?token=leifeng&id=litv-longturn04
博斯高球1,http://192.168.1.1:16888/snowai?token=leifeng&id=litv-longturn05
博斯高球2,http://192.168.1.1:16888/snowai?token=leifeng&id=litv-longturn06
博斯运动1,http://192.168.1.1:16888/snowai?token=leifeng&id=litv-longturn07
博斯运动2,http://192.168.1.1:16888/snowai?token=leifeng&id=litv-longturn08
博斯网球1,http://192.168.1.1:16888/snowai?token=leifeng&id=litv-longturn09
博斯无限1,http://192.168.1.1:16888/snowai?token=leifeng&id=litv-longturn10
博斯无限2,http://192.168.1.1:16888/snowai?token=leifeng&id=litv-longturn13

台湾纪录,#genre#
视纳华仁纪实,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv013
Globetrotter,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv016
达文西频道,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv018
亚洲旅游台,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv076
民视旅游台,http://192.168.1.1:16888/snowai?token=leifeng&id=litv-ftv07
Smart知识台,http://192.168.1.1:16888/snowai?token=leifeng&id=litv-longturn19
CLASSICA古典乐,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv059
TraceUrban,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv082
MezzoLiveHD,http://192.168.1.1:16888/snowai?token=leifeng&id=4gtv-4gtv083
